id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s2-q016,2,引,2,reading,「引力」の「引」の読み方を選びなさい。,いん,ひ,ひき,び,0,引は「ひ（く）」「いん」と読みます
s2-q027,2,夏,2,bushu,「夏」の部首の名前を選びなさい。,ふゆがしら,なつ,か,げ,0,夏の部首は「ふゆがしら」です
s2-q028,2,何,2,bushu,「何」の部首の名前を選びなさい。,にんべん,ひと,なに,か,0,何の部首は「にんべん」です
s2-q035,2,対義語,1,antonym,「白」の対義語を選びなさい。,黒,赤,青,黄,0,白の反対は黒です
s2-q036,2,対義語,1,antonym,「入」の対義語を選びなさい。,出,来,行,帰,0,入の反対は出です
s2-q037,2,対義語,2,antonym,「古」の対義語を選びなさい。,今,新,若,近,0,古の反対は今です
s2-q038,2,対義語,2,antonym,「強」の対義語を選びなさい。,弱,軽,柔,小,0,強の反対は弱です
s2-q039,2,対義語,2,antonym,「遠」の対義語を選びなさい。,近,速,手,側,0,遠の反対は近です
s2-q040,2,対義語,2,antonym,「内」の対義語を選びなさい。,外,表,上,前,0,内の反対は外です
s2-q041,2,め,1,homophone,「め」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）が覚める。」,目,芽,女,馬,0,覚めるのは「目」です
s2-q042,2,ぶん,1,homophone,「ぶん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を書く。」,文,聞,分,紋,0,書くのは「文」です
s2-q043,2,うた,2,homophone,「うた」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を歌う。」,歌,唄,詩,謡,0,歌うのは「歌」です
s2-q044,2,え,2,homophone,「え」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を描く。」,絵,画,江,得,0,描くのは「絵」です
s2-q045,2,かお,2,homophone,「かお」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を洗う。」,顔,貌,香尾,科緒,0,洗うのは「顔」です
s2-q047,2,ほん,1,compound,「本（　）」に入る漢字を選んで二字熟語を完成させなさい。,名,文,日,目,0,本名が正解です
s2-q048,2,六,1,compound,「六（　）」に入る漢字を選んで二字熟語を完成させなさい。,年,日,月,白,0,六年が正解です
s2-q049,2,家,2,compound,「家（　）」に入る漢字を選んで二字熟語を完成させなさい。,族,庭,人,兄,0,家族が正解です
s2-q050,2,科,2,compound,「科（　）」に入る漢字を選んで二字熟語を完成させなさい。,学,目,技,理,0,科学が正解です
s2-q051,2,なに,2,writing,「なに」を漢字で書いたものを選びなさい。,何,河,荷,夏,0,何が正解です
s2-q052,2,か,2,writing,「か」を漢字で書いたものを選びなさい。,科,課,家,花,0,科が正解です
s2-q053,2,なつ,2,writing,「なつ」を漢字で書いたものを選びなさい。,夏,菜,名,納,0,夏が正解です
s2-q054,2,いえ,2,writing,「いえ」を漢字で書いたものを選びなさい。,家,屋,舎,宅,0,家が正解です
s2-q055,2,うた,2,writing,「うた」を漢字で書いたものを選びなさい。,歌,唄,詩,謡,0,歌が正解です
s2-q056,2,が,2,writing,「が」を漢字で書いたものを選びなさい。,画,絵,描,図,0,画が正解です
s2-q059,2,うみ,2,writing,「うみ」を漢字で書いたものを選びなさい。,海,膿,産,波,0,海が正解です
s2-q061,2,そと,2,writing,「そと」を漢字で書いたものを選びなさい。,外,他,表,出,0,外が正解です
s2-q062,2,かど,2,writing,「かど」を漢字で書いたものを選びなさい。,角,門,隅,端,0,角が正解です
s2-q063,2,らく,2,writing,「らく」を漢字で書いたものを選びなさい。,楽,洛,落,絡,0,楽が正解です
s2-q064,2,かつ,2,writing,「かつ」を漢字で書いたものを選びなさい。,活,括,渇,割,0,活が正解です
s3-q002,3,考,2,reading,「考案」の「考」の読み方を選びなさい。,こう,かんが,かえ,おも,0,考は「かんが（える）」「こう」と読みます
s3-q004,3,高,2,reading,「高速」の「高」の読み方を選びなさい。,こう,たか,だか,ひく,0,高は「たか（い）」「こう」と読みます
s3-q011,3,才,2,reading,「才」の読み方を選びなさい。,さい,ざい,とし,ねん,0,才は「さい」と読みます
s3-q012,3,細,2,reading,「細」の読み方を選びなさい。,ほそ,さい,こま,ふと,0,細は「ほそ（い）」「さい」と読みます
s3-q014,3,算,2,reading,「算」の読み方を選びなさい。,さん,そろ,けい,すう,0,算は「さん」と読みます
s3-q015,3,止,2,reading,「止」の読み方を選びなさい。,と,し,や,どま,0,止は「と（まる）」「し」と読みます
s3-q019,3,思,2,reading,「思」の読み方を選びなさい。,おも,し,もう,かんが,0,思は「おも（う）」「し」と読みます
s3-q022,3,考,2,bushu,「考」の部首の名前を選びなさい。,おいかんむり,かんが,こう,しにょう,0,考の部首は「おいかんむり」です
s3-q024,3,紙,2,bushu,「紙」の部首の名前を選びなさい。,いとへん,かみ,し,きへん,0,紙の部首は「いとへん」です
s3-q027,3,親,2,bushu,「親」の部首の名前を選びなさい。,みる,め,おや,しん,0,親の部首は「みる」です
s3-q035,3,対義語,2,antonym,「高」の対義語を選びなさい。,低,短,浅,小,0,高の反対は低です
s3-q036,3,対義語,2,antonym,「前」の対義語を選びなさい。,後,裏,次,先,0,前の反対は後です
s3-q037,3,対義語,2,antonym,「多」の対義語を選びなさい。,少,小,低,細,0,多の反対は少です
s3-q038,3,対義語,2,antonym,「長」の対義語を選びなさい。,短,低,小,細,0,長の反対は短です
s3-q039,3,対義語,2,antonym,「新」の対義語を選びなさい。,古,旧,老,昔,0,新の反対は古です
s3-q040,3,対義語,2,antonym,「朝」の対義語を選びなさい。,夕,夜,晩,昼,0,朝の反対は夕です
s3-q041,3,し,2,homophone,「し」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）役所。」,市,四,死,詩,0,役所があるのは「市」です
s3-q044,3,こえ,2,homophone,「こえ」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）をかける。」,声,肥,超,越,0,かけるのは「声」です
s3-q045,3,ほし,2,homophone,「ほし」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を見る。」,星,干,欲,乾,0,見るのは「星」です
s3-q046,3,はれ,2,homophone,「はれ」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）の日。」,晴,腫,張,貼,0,天気が良いのは「晴」です
s3-q047,3,算,2,compound,「算（　）」に入る漢字を選んで二字熟語を完成させなさい。,数,学,計,式,0,算数が正解です
s3-q048,3,作,2,compound,「作（　）」に入る漢字を選んで二字熟語を完成させなさい。,文,業,品,家,0,作文が正解です
s3-q049,3,親,2,compound,「親（　）」に入る漢字を選んで二字熟語を完成させなさい。,子,父,母,友,0,親子が正解です
s3-q051,3,てら,2,writing,「てら」を漢字で書いたものを選びなさい。,寺,時,詩,持,0,寺が正解です
s3-q054,3,しつ,2,writing,「しつ」を漢字で書いたものを選びなさい。,室,失,質,湿,0,室が正解です
s3-q055,3,しゃ,2,writing,「しゃ」を漢字で書いたものを選びなさい。,社,者,車,写,0,社が正解です
s3-q056,3,じゃく,2,writing,「じゃく」を漢字で書いたものを選びなさい。,弱,若,雀,弓,0,弱が正解です
s3-q057,3,くび,2,writing,「くび」を漢字で書いたものを選びなさい。,首,頭,道,導,0,首が正解です
s3-q058,3,あき,2,writing,「あき」を漢字で書いたものを選びなさい。,秋,秒,和,空,0,秋が正解です
s3-q059,3,しゅう,2,writing,「しゅう」を漢字で書いたものを選びなさい。,週,周,州,修,0,週が正解です
s3-q060,3,はる,2,writing,「はる」を漢字で書いたものを選びなさい。,春,晴,張,治,0,春が正解です
s3-q061,3,しょ,2,writing,「しょ」を漢字で書いたものを選びなさい。,書,所,署,暑,0,書が正解です
s3-q062,3,しょう,2,writing,「しょう」を漢字で書いたものを選びなさい。,少,小,省,消,0,少が正解です
s3-q063,3,ば,2,writing,「ば」を漢字で書いたものを選びなさい。,場,馬,葉,庭,0,場が正解です
s3-q064,3,いろ,2,writing,「いろ」を漢字で書いたものを選びなさい。,色,彩,絵,柄,0,色が正解です
s4-q001,4,通,2,reading,「通」の読み方を選びなさい。,とお,つう,かよ,みち,0,通は「とお（る）」「つう」「かよ（う）」と読みます
s4-q004,4,点,2,reading,「点」の読み方を選びなさい。,てん,つ,ちょぼ,まる,0,点は「てん」と読みます
s4-q005,4,電,2,reading,「電」の読み方を選びなさい。,でん,いなずま,かみなり,ひかり,0,電は「でん」と読みます
s4-q008,4,当,2,reading,「当」の読み方を選びなさい。,あ,とう,た,まさ,0,当は「あ（たる）」「とう」と読みます
s4-q010,4,答,2,reading,「答」の読み方を選びなさい。,こた,とう,こたえ,とい,0,答は「こた（える）」「とう」と読みます
s4-q012,4,同,2,reading,「同」の読み方を選びなさい。,おな,どう,とも,こと,0,同は「おな（じ）」「どう」と読みます
s4-q017,4,肉,2,reading,「肉」の読み方を選びなさい。,にく,じく,しし,ぶた,0,肉は「にく」と読みます
s4-q019,4,売,2,reading,「売」の読み方を選びなさい。,う,ばい,うり,か,0,売は「う（る）」「ばい」と読みます
s4-q020,4,買,2,reading,「買」の読み方を選びなさい。,か,ばい,こう,う,0,買は「か（う）」「ばい」と読みます
s4-q023,4,店,2,bushu,「店」の部首の名前を選びなさい。,まだれ,みせ,てん,やね,0,店の部首は「まだれ」です
s4-q035,4,対義語,2,antonym,「売」の対義語を選びなさい。,買,貸,借,与,0,売の反対は買です
s4-q036,4,対義語,2,antonym,「東」の対義語を選びなさい。,西,南,北,中,0,東の反対は西です
s4-q037,4,対義語,2,antonym,「内」の対義語を選びなさい。,外,表,上,前,0,内の反対は外です
s4-q038,4,対義語,2,antonym,「南」の対義語を選びなさい。,北,東,西,中,0,南の反対は北です
s4-q039,4,対義語,2,antonym,「父」の対義語を選びなさい。,母,子,親,兄,0,父の反対は母です
s4-q040,4,対義語,2,antonym,「兄」の対義語を選びなさい。,弟,姉,妹,子,0,兄の反対は弟です
s4-q041,4,わる,3,homophone,「わる」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）い人。」,悪,割,惑,和,0,人が悪いのは「悪」です
s4-q042,4,やす,3,homophone,「やす」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）い店。」,安,易,休,保,0,値段が安いのは「安」です
s4-q044,4,い,3,homophone,「い」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）者。」,医,胃,意,位,0,医者の「医」です
s4-q045,4,い,3,homophone,「い」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）員。」,委,胃,意,位,0,委員の「委」です
s4-q046,4,い,3,homophone,「い」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）味。」,意,胃,医,位,0,意味の「意」です
s4-q047,4,電,2,compound,「電（　）」に入る漢字を選んで二字熟語を完成させなさい。,話,車,気,力,0,電話が正解です
s4-q048,4,半,2,compound,「半（　）」に入る漢字を選んで二字熟語を完成させなさい。,分,年,日,月,0,半分が正解です
s4-q049,4,父,2,compound,「父（　）」に入る漢字を選んで二字熟語を完成させなさい。,母,兄,姉,子,0,父母が正解です
s4-q050,4,方,2,compound,「方（　）」に入る漢字を選んで二字熟語を完成させなさい。,向,法,角,面,0,方向が正解です
s4-q051,4,むぎ,2,writing,「むぎ」を漢字で書いたものを選びなさい。,麦,来,表,素,0,麦が正解です
s4-q052,4,はん,2,writing,「はん」を漢字で書いたものを選びなさい。,半,判,伴,反,0,半が正解です
s4-q053,4,ばん,2,writing,「ばん」を漢字で書いたものを選びなさい。,番,版,板,飯,0,番が正解です
s4-q054,4,ちち,2,writing,「ちち」を漢字で書いたものを選びなさい。,父,交,支,乳,0,父が正解です
s4-q055,4,かぜ,2,writing,「かぜ」を漢字で書いたものを選びなさい。,風,凪,嵐,颪,0,風が正解です
s4-q057,4,き,2,writing,「き」を漢字で書いたものを選びなさい。,聞,間,開,閉,0,聞が正解です
s4-q058,4,こめ,2,writing,「こめ」を漢字で書いたものを選びなさい。,米,来,迷,粉,0,米が正解です
s4-q059,4,ある,2,writing,「ある」を漢字で書いたものを選びなさい。,歩,渉,涉,渡,0,歩が正解です
s4-q060,4,はは,2,writing,「はは」を漢字で書いたものを選びなさい。,母,毋,海,梅,0,母が正解です
s4-q061,4,ほう,2,writing,「ほう」を漢字で書いたものを選びなさい。,方,放,芳,訪,0,方が正解です
s4-q062,4,きた,2,writing,「きた」を漢字で書いたものを選びなさい。,北,喜,背,来,0,北が正解です
s4-q063,4,まい,2,writing,「まい」を漢字で書いたものを選びなさい。,毎,海,梅,枚,0,毎が正解です
s4-q064,4,いもうと,2,writing,「いもうと」を漢字で書いたものを選びなさい。,妹,末,味,未,0,妹が正解です
s5-q003,5,温,3,reading,「温」の読み方を選びなさい。,あたた,おん,ぬく,つめ,0,温は「あたた（かい）」「おん」と読みます
s5-q006,5,界,3,reading,「界」の読み方を選びなさい。,かい,さかい,せかい,きわ,0,界は「かい」と読みます
s5-q007,5,開,3,reading,「開」の読み方を選びなさい。,ひら,かい,あ,と,0,開は「ひら（く）」「かい」「あ（く）」と読みます
s5-q008,5,階,3,reading,「階」の読み方を選びなさい。,かい,きざはし,だん,そう,0,階は「かい」と読みます
s5-q009,5,寒,3,reading,「寒」の読み方を選びなさい。,さむ,かん,ひ,あつ,0,寒は「さむ（い）」「かん」と読みます
s5-q010,5,感,3,reading,「感」の読み方を選びなさい。,かん,かんが,おも,しん,0,感は「かん」と読みます
s5-q011,5,漢,3,reading,「漢」の読み方を選びなさい。,かん,から,おとこ,わ,0,漢は「かん」と読みます
s5-q014,5,起,3,reading,「起」の読み方を選びなさい。,お,き,た,ね,0,起は「お（きる）」「き」と読みます
s5-q017,5,究,3,reading,「究」の読み方を選びなさい。,きゅう,きわ,く,けん,0,究は「きゅう」「きわ（める）」と読みます
s5-q018,5,急,3,reading,「急」の読み方を選びなさい。,いそ,きゅう,せ,おそ,0,急は「いそ（ぐ）」「きゅう」と読みます
s5-q019,5,級,3,reading,「級」の読み方を選びなさい。,きゅう,くら,だん,そう,0,級は「きゅう」と読みます
s5-q022,5,館,3,bushu,「館」の部首の名前を選びなさい。,しょくへん,かん,やかた,たて,0,館の部首は「しょくへん」です
s5-q035,5,対義語,3,antonym,「開」の対義語を選びなさい。,閉,始,終,停,0,開の反対は閉です
s5-q036,5,対義語,3,antonym,「寒」の対義語を選びなさい。,暑,熱,温,涼,0,寒の反対は暑です
s5-q037,5,対義語,3,antonym,「横」の対義語を選びなさい。,縦,竪,立,直,0,横の反対は縦です
s5-q038,5,対義語,3,antonym,「急」の対義語を選びなさい。,緩,遅,慢,鈍,0,急の反対は緩です
s5-q040,5,対義語,3,antonym,「苦」の対義語を選びなさい。,楽,喜,幸,甘,0,苦の反対は楽です
s5-q043,5,きょう,3,homophone,「きょう」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を渡る。」,橋,京,強,教,0,渡るのは「橋」です
s5-q044,5,ぎょう,3,homophone,「ぎょう」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）務。」,業,漁,凝,仰,0,業務の「業」です
s5-q045,5,きょく,3,homophone,「きょく」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を聞く。」,曲,局,極,玉,0,聞くのは「曲」です
s5-q047,5,期,3,compound,「期（　）」に入る漢字を選んで二字熟語を完成させなさい。,間,日,限,末,0,期間が正解です
s5-q048,5,客,3,compound,「客（　）」に入る漢字を選んで二字熟語を完成させなさい。,室,間,席,車,0,客室が正解です
s5-q049,5,研,3,compound,「研（　）」に入る漢字を選んで二字熟語を完成させなさい。,究,修,鑽,学,0,研究が正解です
s5-q050,5,急,3,compound,「急（　）」に入る漢字を選んで二字熟語を完成させなさい。,行,ぐ,便,速,0,急行が正解です
s5-q051,5,ぎん,3,writing,「ぎん」を漢字で書いたものを選びなさい。,銀,金,鈴,錦,0,銀が正解です
s5-q054,5,ぐ,3,writing,「ぐ」を漢字で書いたものを選びなさい。,具,愚,遇,偶,0,具が正解です
s5-q055,5,くん,3,writing,「くん」を漢字で書いたものを選びなさい。,君,群,訓,勲,0,君が正解です
s5-q056,5,けい,3,writing,「けい」を漢字で書いたものを選びなさい。,係,系,計,軽,0,係が正解です
s5-q060,5,けん,3,writing,「けん」を漢字で書いたものを選びなさい。,研,険,県,硯,0,研が正解です
s5-q061,5,けん,3,writing,「けん」を漢字で書いたものを選びなさい。,県,研,険,硯,0,県が正解です
s5-q062,5,こ,3,writing,「こ」を漢字で書いたものを選びなさい。,庫,倉,蔵,個,0,庫が正解です
s5-q063,5,こ,3,writing,「こ」を漢字で書いたものを選びなさい。,湖,個,故,枯,0,湖が正解です
s5-q064,5,こう,3,writing,「こう」を漢字で書いたものを選びなさい。,向,高,広,香,0,向が正解です
s6-q002,6,受,3,reading,「受」の読み方を選びなさい。,う,じゅ,ず,さず,0,受は「う（ける）」「じゅ」と読みます
s6-q005,6,終,3,reading,「終」の読み方を選びなさい。,お,しゅう,つい,は,0,終は「お（わる）」「しゅう」と読みます
s6-q006,6,習,3,reading,「習」の読み方を選びなさい。,なら,しゅう,しゅ,まな,0,習は「なら（う）」「しゅう」と読みます
s6-q007,6,集,3,reading,「集」の読み方を選びなさい。,あつ,しゅう,つど,あつま,0,集は「あつ（まる）」「しゅう」と読みます
s6-q008,6,住,3,reading,「住」の読み方を選びなさい。,す,じゅう,すま,い,0,住は「す（む）」「じゅう」と読みます
s6-q012,6,暑,3,reading,「暑」の読み方を選びなさい。,あつ,しょ,さむ,ひ,0,暑は「あつ（い）」「しょ」と読みます
s6-q014,6,昭,3,reading,「昭」の読み方を選びなさい。,しょう,あき,てる,あきら,0,昭は「しょう」と読みます
s6-q015,6,消,3,reading,「消」の読み方を選びなさい。,け,しょう,き,う,0,消は「け（す）」「しょう」と読みます
s6-q016,6,商,3,reading,「商」の読み方を選びなさい。,しょう,あきな,あき,ばい,0,商は「しょう」「あきな（う）」と読みます
s6-q017,6,章,3,reading,「章」の読み方を選びなさい。,しょう,あや,ふみ,ぶん,0,章は「しょう」と読みます
s6-q018,6,勝,3,reading,「勝」の読み方を選びなさい。,か,しょう,ま,ぞ,0,勝は「か（つ）」「しょう」と読みます
s6-q019,6,乗,3,reading,「乗」の読み方を選びなさい。,の,じょう,ぞう,こ,0,乗は「の（る）」「じょう」と読みます
s6-q020,6,植,3,reading,「植」の読み方を選びなさい。,う,しょく,え,た,0,植は「う（える）」「しょく」と読みます
s6-q035,6,対義語,3,antonym,「始」の対義語を選びなさい。,終,末,止,果,0,始の反対は終です
s6-q038,6,対義語,3,antonym,「勝」の対義語を選びなさい。,負,敗,損,失,0,勝の反対は負です
s6-q039,6,対義語,3,antonym,「深」の対義語を選びなさい。,浅,薄,低,短,0,深の反対は浅です
s6-q040,6,対義語,3,antonym,「進」の対義語を選びなさい。,退,後,戻,返,0,進の反対は退です
s6-q041,6,しん,3,homophone,「しん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）し込む。」,申,伸,神,真,0,申し込むの「申」です
s6-q042,6,しん,3,homophone,「しん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）体。」,身,伸,神,真,0,身体の「身」です
s6-q043,6,しん,3,homophone,「しん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）社。」,神,伸,申,真,0,神社の「神」です
s6-q044,6,しん,3,homophone,「しん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）実。」,真,伸,申,神,0,真実の「真」です
s6-q045,6,しん,3,homophone,「しん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）い。」,深,伸,申,神,0,深いの「深」です
s6-q046,6,しん,3,homophone,「しん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）む。」,進,伸,申,神,0,進むの「進」です
s6-q047,6,終,3,compound,「終（　）」に入る漢字を選んで二字熟語を完成させなさい。,始,了,点,末,0,終始が正解です
s6-q048,6,住,3,compound,「住（　）」に入る漢字を選んで二字熟語を完成させなさい。,所,宅,居,家,0,住所が正解です
s6-q049,6,商,3,compound,「商（　）」に入る漢字を選んで二字熟語を完成させなさい。,品,店,売,業,0,商品が正解です
s6-q050,6,植,3,compound,「植（　）」に入る漢字を選んで二字熟語を完成させなさい。,物,木,林,園,0,植物が正解です
s6-q051,6,こう,3,writing,「こう」を漢字で書いたものを選びなさい。,幸,幻,辛,報,0,幸が正解です
s6-q052,6,こう,3,writing,「こう」を漢字で書いたものを選びなさい。,港,講,鋼,江,0,港が正解です
s6-q053,6,ごう,3,writing,「ごう」を漢字で書いたものを選びなさい。,号,合,豪,拷,0,号が正解です
s6-q054,6,こん,3,writing,「こん」を漢字で書いたものを選びなさい。,根,今,混,懇,0,根が正解です
s6-q055,6,さい,3,writing,「さい」を漢字で書いたものを選びなさい。,祭,際,菜,採,0,祭が正解です
s6-q056,6,さら,3,writing,「さら」を漢字で書いたものを選びなさい。,皿,更,盾,血,0,皿が正解です
s6-q060,6,し,3,writing,「し」を漢字で書いたものを選びなさい。,始,台,治,冶,0,始が正解です
s6-q061,6,し,3,writing,「し」を漢字で書いたものを選びなさい。,指,旨,脂,紫,0,指が正解です
s6-q062,6,し,3,writing,「し」を漢字で書いたものを選びなさい。,歯,齢,柵,函,0,歯が正解です
s6-q063,6,し,3,writing,「し」を漢字で書いたものを選びなさい。,詩,寺,時,持,0,詩が正解です
s6-q064,6,じ,3,writing,「じ」を漢字で書いたものを選びなさい。,次,時,自,字,0,次が正解です
s7-q005,7,動,3,reading,「動」の読み方を選びなさい。,うご,どう,ゆ,しず,0,動は「うご（く）」「どう」と読みます
s7-q007,7,農,3,reading,「農」の読み方を選びなさい。,のう,た,はたけ,みのり,0,農は「のう」と読みます
s7-q009,7,配,3,reading,「配」の読み方を選びなさい。,くば,はい,わ,くみ,0,配は「くば（る）」「はい」と読みます
s7-q010,7,倍,3,reading,「倍」の読み方を選びなさい。,ばい,ばえ,ます,そう,0,倍は「ばい」と読みます
s7-q011,7,箱,3,reading,「箱」の読み方を選びなさい。,はこ,そう,いれ,ばこ,0,箱は「はこ」と読みます
s7-q015,7,坂,3,reading,「坂」の読み方を選びなさい。,さか,はん,ばん,のぼ,0,坂は「さか」と読みます
s7-q018,7,悲,3,reading,「悲」の読み方を選びなさい。,かな,ひ,いた,なげ,0,悲は「かな（しい）」「ひ」と読みます
s7-q028,7,愛,4,bushu,「愛」の部首の名前を選びなさい。,こころ,したごころ,あい,りっしんべん,0,愛の部首は「こころ」です
s7-q035,7,対義語,3,antonym,「美」の対義語を選びなさい。,醜,悪,汚,穢,0,美の反対は醜です
s7-q036,7,対義語,3,antonym,「発」の対義語を選びなさい。,着,到,止,終,0,発の反対は着です
s7-q037,7,対義語,3,antonym,「悲」の対義語を選びなさい。,喜,楽,幸,嬉,0,悲の反対は喜です
s7-q038,7,対義語,3,antonym,「表」の対義語を選びなさい。,裏,内,奥,下,0,表の反対は裏です
s7-q039,7,対義語,3,antonym,「有」の対義語を選びなさい。,無,否,非,不,0,有の反対は無です
s7-q040,7,対義語,3,antonym,「予」の類義語を選びなさい。,定,期,約,備,0,予と定は類義語です
s7-q041,7,ひつ,3,homophone,「ひつ」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）で書く。」,筆,必,泌,畢,0,書くのは「筆」です
s7-q042,7,ひょう,3,homophone,「ひょう」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）が張る。」,氷,兵,表,票,0,張るのは「氷」です
